Victim Relationship to Offender,Relationship Count
Relationship Unknown,210209
Stranger,170118
Acquaintance,102199
Boyfriend/Girlfriend,74184
Otherwise Known,55764
Spouse,21677
Friend,19825
Other Family Member,18804
Child,17657
Sibling,12959
Offender,12849
Parent,11414
Neighbor,11020
Ex Spouse,4167
Stepchild,3419
Common Law Spouse,2642
Child of Boyfriend/Girlfriend,2480
In-Law,2371
Stepparent,2058
Grandchild,1452
Grandparent,1192
Stepsibling,986
Employee,945
Employer,482
Babysittee,466
Homosexual Relationship,373
